"","country","code","Gender","Age","Household.Income","mean_rating"
"170","Belgium","BEL","Male","> 60","$100,000 - $149,999",3.4
"171","Belgium","BEL","Male","> 60","$150,000+",3.84615384615385
"172","Belgium","BEL","Male","> 60","$25,000 - $49,999",3
"173","Belgium","BEL","Male","> 60","$50,000 - $99,999",3.35
"174","Belgium","BEL","Male","> 60",NA,3.45454545454545
"175","Belgium","BEL","Male","18-29","$0 - $24,999",3.7
"176","Belgium","BEL","Male","18-29","$100,000 - $149,999",3.4
"177","Belgium","BEL","Male","18-29","$150,000+",3.66666666666667
"178","Belgium","BEL","Male","18-29","$25,000 - $49,999",3.58333333333333
"179","Belgium","BEL","Male","18-29","$50,000 - $99,999",3.22222222222222
"180","Belgium","BEL","Male","18-29",NA,3.875
"181","Belgium","BEL","Male","30-44","$0 - $24,999",3.33333333333333
"182","Belgium","BEL","Male","30-44","$100,000 - $149,999",3.42857142857143
"183","Belgium","BEL","Male","30-44","$150,000+",3.66666666666667
"184","Belgium","BEL","Male","30-44","$25,000 - $49,999",3.75
"185","Belgium","BEL","Male","30-44","$50,000 - $99,999",3.21052631578947
"186","Belgium","BEL","Male","30-44",NA,3.125
"187","Belgium","BEL","Male","45-60","$0 - $24,999",3.25
"188","Belgium","BEL","Male","45-60","$100,000 - $149,999",3.22222222222222
"189","Belgium","BEL","Male","45-60","$150,000+",3.83333333333333
"190","Belgium","BEL","Male","45-60","$25,000 - $49,999",3.5
"191","Belgium","BEL","Male","45-60","$50,000 - $99,999",3.42857142857143
"192","Belgium","BEL","Male","45-60",NA,3.28571428571429
"193","Bosnia and Herzegovina","BIH","Female","> 60","$0 - $24,999",3
"194","Bosnia and Herzegovina","BIH","Female","> 60","$100,000 - $149,999",2
"195","Bosnia and Herzegovina","BIH","Female","> 60","$150,000+",3
"196","Bosnia and Herzegovina","BIH","Female","> 60","$25,000 - $49,999",3
"197","Bosnia and Herzegovina","BIH","Female","> 60","$50,000 - $99,999",3.125
"198","Bosnia and Herzegovina","BIH","Female","> 60",NA,3.25
"199","Bosnia and Herzegovina","BIH","Female","18-29","$0 - $24,999",2.5
"200","Bosnia and Herzegovina","BIH","Female","18-29","$100,000 - $149,999",NA
"201","Bosnia and Herzegovina","BIH","Female","18-29","$150,000+",2
"202","Bosnia and Herzegovina","BIH","Female","18-29","$25,000 - $49,999",3.33333333333333
"203","Bosnia and Herzegovina","BIH","Female","18-29","$50,000 - $99,999",3.5
